OpenAlex filter: 2446 partition(s) under /home/alex/discovery_hub/data/openalex_snapshot/works
  keep concepts=['C71924100', 'C86803240'] domains=['Health Sciences', 'Life Sciences'] min_score=0.3 require_abstract=True max=none
  [238/2446] scanned=2,145,778 kept=364,878 (19,764/s)
  [245/2446] scanned=4,159,416 kept=599,451 (20,846/s)
  [252/2446] scanned=6,171,119 kept=833,735 (21,302/s)
  [259/2446] scanned=8,186,651 kept=1,068,996 (21,515/s)
  [266/2446] scanned=10,201,409 kept=1,304,089 (21,644/s)
  [273/2446] scanned=12,213,077 kept=1,538,337 (21,752/s)
  [280/2446] scanned=14,227,309 kept=1,773,337 (21,812/s)
  [287/2446] scanned=16,352,419 kept=2,019,925 (21,874/s)
  [294/2446] scanned=18,251,869 kept=2,241,606 (21,911/s)
  [301/2446] scanned=20,264,964 kept=2,475,416 (21,939/s)
  [308/2446] scanned=22,277,951 kept=2,709,759 (21,962/s)
  [314/2446] scanned=24,004,677 kept=2,910,530 (21,979/s)
  [321/2446] scanned=26,018,381 kept=3,144,747 (21,998/s)
  [328/2446] scanned=28,029,432 kept=3,379,672 (22,011/s)
  [335/2446] scanned=30,041,772 kept=3,613,689 (22,024/s)
  [342/2446] scanned=32,049,870 kept=3,847,420 (22,041/s)
  [349/2446] scanned=34,065,007 kept=4,082,511 (22,051/s)
  [356/2446] scanned=36,076,626 kept=4,317,026 (22,064/s)
  [363/2446] scanned=38,087,465 kept=4,550,335 (22,078/s)
  [370/2446] scanned=40,101,936 kept=4,785,144 (22,086/s)
  [377/2446] scanned=42,115,534 kept=5,019,769 (22,092/s)
  [384/2446] scanned=44,129,765 kept=5,254,385 (22,101/s)
  [391/2446] scanned=46,142,594 kept=5,489,152 (22,101/s)
  [426/2446] scanned=48,232,823 kept=5,793,386 (22,016/s)
  [436/2446] scanned=50,126,160 kept=6,094,072 (21,896/s)
  [448/2446] scanned=52,020,629 kept=6,395,484 (21,793/s)
  [461/2446] scanned=54,062,560 kept=6,720,362 (21,691/s)
  [472/2446] scanned=56,355,204 kept=7,085,712 (21,583/s)
  [482/2446] scanned=58,395,834 kept=7,411,521 (21,490/s)
  [492/2446] scanned=60,034,735 kept=7,670,772 (21,429/s)
  [503/2446] scanned=62,218,848 kept=8,018,287 (21,342/s)
  [513/2446] scanned=64,111,886 kept=8,318,658 (21,279/s)
  [523/2446] scanned=66,006,727 kept=8,620,026 (21,219/s)
  [534/2446] scanned=68,045,174 kept=8,944,238 (21,154/s)
  [544/2446] scanned=70,084,802 kept=9,268,021 (21,096/s)
  [554/2446] scanned=72,378,430 kept=9,633,224 (21,036/s)
  [563/2446] scanned=74,016,999 kept=9,894,354 (20,993/s)
  [573/2446] scanned=76,020,081 kept=10,211,430 (20,945/s)
  [584/2446] scanned=78,096,180 kept=10,541,930 (20,900/s)
  [593/2446] scanned=80,136,561 kept=10,866,705 (20,857/s)
  [605/2446] scanned=82,030,738 kept=11,168,194 (20,819/s)
  [618/2446] scanned=84,070,855 kept=11,493,303 (20,780/s)
  [629/2446] scanned=86,108,781 kept=11,817,485 (20,745/s)
  [638/2446] scanned=88,001,676 kept=12,118,654 (20,712/s)
  [648/2446] scanned=90,044,113 kept=12,442,956 (20,679/s)
  [659/2446] scanned=92,084,662 kept=12,767,203 (20,647/s)
  [670/2446] scanned=94,124,783 kept=13,091,511 (20,615/s)
